ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-12,36387.229633671814,21775.518396166764,35437.85159533598,36376.06913280577,36401.77693863321,-7371.115227289705,-7371.115227289705,-7371.115227289705,-4348.821488810695,-4348.821488810695,-4348.821488810695,-3022.2937384790102,-3022.2937384790102,-3022.2937384790102,0.0,0.0,0.0,29016.11440638211
2018-08-13,36394.49051614006,30807.032465324533,44531.241598723034,36379.44104060011,36411.69795632638,983.9774707928125,983.9774707928125,983.9774707928125,4240.301552358139,4240.301552358139,4240.301552358139,-3256.324081565326,-3256.324081565326,-3256.324081565326,0.0,0.0,0.0,37378.467986932876
2018-08-14,36401.751398608314,29406.697069506696,43627.682994349314,36382.98859736477,36422.98249979373,98.83825684486872,98.83825684486872,98.83825684486872,3537.6556400970776,3537.6556400970776,3537.6556400970776,-3438.817383252209,-3438.817383252209,-3438.817383252209,0.0,0.0,0.0,36500.58965545318
2018-08-15,36409.01228107657,28381.87716465444,42458.15553095385,36386.65111693411,36433.5666694887,-1210.5578657680564,-1210.5578657680564,-1210.5578657680564,2355.2455998877854,2355.2455998877854,2355.2455998877854,-3565.8034656558416,-3565.8034656558416,-3565.8034656558416,0.0,0.0,0.0,35198.45441530851
2018-08-16,36416.27316354482,27541.854579914543,40846.07070738401,36390.97299294859,36443.49724208828,-2344.5019523974106,-2344.5019523974106,-2344.5019523974106,1290.155330871539,1290.155330871539,1290.155330871539,-3634.6572832689503,-3634.6572832689503,-3634.6572832689503,0.0,0.0,0.0,34071.77121114741
2018-08-17,36423.53404601307,24755.64580935226,38235.60109733212,36392.583826836606,36453.22281089715,-4698.180384864021,-4698.180384864021,-4698.180384864021,-1054.0379767425552,-1054.0379767425552,-1054.0379767425552,-3644.142408121466,-3644.142408121466,-3644.142408121466,0.0,0.0,0.0,31725.35366114905
2018-08-18,36430.79492848132,19743.50401924386,34127.51427795802,36396.68966433594,36464.26384603077,-9614.921471201435,-9614.921471201435,-9614.921471201435,-6020.498657664295,-6020.498657664295,-6020.498657664295,-3594.4228135371395,-3594.4228135371395,-3594.4228135371395,0.0,0.0,0.0,26815.873457279886
2018-08-19,36438.055810949576,21612.104344411677,35383.65893733513,36401.84691784992,36477.58671105473,-7835.8645420145585,-7835.8645420145585,-7835.8645420145585,-4348.821488802488,-4348.821488802488,-4348.821488802488,-3487.0430532120718,-3487.0430532120718,-3487.0430532120718,0.0,0.0,0.0,28602.191268935017
2018-08-20,36445.31669341782,30064.7121350246,44477.797785501454,36406.65667470395,36490.57721865466,915.4239195767955,915.4239195767955,915.4239195767955,4240.301552362272,4240.301552362272,4240.301552362272,-3324.8776327854766,-3324.8776327854766,-3324.8776327854766,0.0,0.0,0.0,37360.74061299462
2018-08-21,36452.57757588607,30703.890227196334,43582.303354856114,36411.89170133012,36502.1948544466,425.60459602918365,425.60459602918365,425.60459602918365,3537.655640095343,3537.655640095343,3537.655640095343,-3112.0510440661596,-3112.0510440661596,-3112.0510440661596,0.0,0.0,0.0,36878.18217191525
2018-08-22,36459.83845835433,28751.928809140598,42482.15010080188,36416.25597239211,36514.29439351395,-498.5849634106139,-498.5849634106139,-498.5849634106139,2355.245599891843,2355.245599891843,2355.245599891843,-2853.830563302457,-2853.830563302457,-2853.830563302457,0.0,0.0,0.0,35961.25349494372
2018-08-23,36467.09934082258,28278.30393094266,42091.8795927432,36419.32018485799,36525.734855167764,-1266.3391603623945,-1266.3391603623945,-1266.3391603623945,1290.1553308778232,1290.1553308778232,1290.1553308778232,-2556.494491240218,-2556.494491240218,-2556.494491240218,0.0,0.0,0.0,35200.76018046018
2018-08-24,36474.36022329082,26516.78909835964,40149.63679744384,36422.00659637485,36538.38606683057,-3281.216999444231,-3281.216999444231,-3281.216999444231,-1054.0379767482002,-1054.0379767482002,-1054.0379767482002,-2227.1790226960316,-2227.1790226960316,-2227.1790226960316,0.0,0.0,0.0,33193.14322384659
2018-08-25,36481.621105759084,21675.989338422707,35715.61573545392,36426.40773773037,36548.83135032985,-7894.206024668906,-7894.206024668906,-7894.206024668906,-6020.498657664963,-6020.498657664963,-6020.498657664963,-1873.7073670039438,-1873.7073670039438,-1873.7073670039438,0.0,0.0,0.0,28587.415081090177
2018-08-26,36488.88198822733,23620.198105458963,37274.79673419868,36429.101684389556,36563.97185583481,-5853.226578718747,-5853.226578718747,-5853.226578718747,-4348.821488798231,-4348.821488798231,-4348.821488798231,-1504.4050899205154,-1504.4050899205154,-1504.4050899205154,0.0,0.0,0.0,30635.655409508585
2018-08-27,36496.142870695585,32532.93925231551,46609.49315202104,36429.43907880691,36576.357246044536,3112.3956461476714,3112.3956461476714,3112.3956461476714,4240.301552364656,4240.301552364656,4240.301552364656,-1127.9059062169856,-1127.9059062169856,-1127.9059062169856,0.0,0.0,0.0,39608.538516843255
2018-08-28,36503.40375316383,32069.556988073404,45927.49341720449,36433.36945330919,36587.25304825454,2784.7033238415643,2784.7033238415643,2784.7033238415643,3537.6556400980858,3537.6556400980858,3537.6556400980858,-752.9523162565214,-752.9523162565214,-752.9523162565214,0.0,0.0,0.0,39288.10707700539
2018-08-29,36510.66463563208,31154.09310546505,45226.89416352224,36435.38331157282,36598.52699941132,1967.0500526418261,1967.0500526418261,1967.0500526418261,2355.2455998902074,2355.2455998902074,2355.2455998902074,-388.1955472483815,-388.1955472483815,-388.1955472483815,0.0,0.0,0.0,38477.7146882739
2018-08-30,36517.92551810034,30912.72520120223,44856.8968185847,36437.33352982984,36612.16589604723,1248.1561000941351,1248.1561000941351,1248.1561000941351,1290.1553308738821,1290.1553308738821,1290.1553308738821,-41.9992307797469,-41.9992307797469,-41.9992307797469,0.0,0.0,0.0,37766.081618194476
2018-08-31,36525.186400568586,28918.042073358134,42307.62700350026,36437.578215983354,36625.89067279353,-776.2891012243828,-776.2891012243828,-776.2891012243828,-1054.0379767478328,-1054.0379767478328,-1054.0379767478328,277.7488755234501,277.7488755234501,277.7488755234501,0.0,0.0,0.0,35748.8972993442
2018-09-01,36532.44728303683,24277.709807842373,37923.7844205979,36440.13769095619,36637.65247283814,-5456.685629229929,-5456.685629229929,-5456.685629229929,-6020.498657665631,-6020.498657665631,-6020.498657665631,563.8130284357019,563.8130284357019,563.8130284357019,0.0,0.0,0.0,31075.761653806905
2018-09-02,36539.70816550509,26242.51122365204,40065.24698489776,36441.1122047863,36649.296661513894,-3539.0517818749818,-3539.0517818749818,-3539.0517818749818,-4348.821488804221,-4348.821488804221,-4348.821488804221,809.7697069292393,809.7697069292393,809.7697069292393,0.0,0.0,0.0,33000.656383630114
2018-09-03,36546.96904797334,34932.963412346995,49149.922960238495,36441.69803837057,36665.24702565444,5250.450021230017,5250.450021230017,5250.450021230017,4240.301552349967,4240.301552349967,4240.301552349967,1010.1484688800509,1010.1484688800509,1010.1484688800509,0.0,0.0,0.0,41797.41906920336
2018-09-04,36554.22993044159,35148.406703161716,48214.16043713577,36440.475956199305,36680.75105749695,4698.206123196928,4698.206123196928,4698.206123196928,3537.6556400971513,3537.6556400971513,3537.6556400971513,1160.5504830997768,1160.5504830997768,1160.5504830997768,0.0,0.0,0.0,41252.436053638514
2018-09-05,36561.49081290984,33883.18795709374,47590.458767809476,36442.64657939998,36698.68813673176,3612.9878664501184,3612.9878664501184,3612.9878664501184,2355.245599888572,2355.245599888572,2355.245599888572,1257.7422665615463,1257.7422665615463,1257.7422665615463,0.0,0.0,0.0,40174.478679359956
2018-09-06,36568.751695378094,32450.531944747247,46271.9521623564,36443.91551950818,36714.61192609077,2589.878038348683,2589.878038348683,2589.878038348683,1290.155330874889,1290.155330874889,1290.155330874889,1299.722707473794,1299.722707473794,1299.722707473794,0.0,0.0,0.0,39158.629733726775
2018-09-07,36576.01257784635,30126.74086499098,43484.68191985346,36444.49210962776,36730.16275491853,231.72406469048784,231.72406469048784,231.72406469048784,-1054.0379767362995,-1054.0379767362995,-1054.0379767362995,1285.7620414267874,1285.7620414267874,1285.7620414267874,0.0,0.0,0.0,36807.73664253684
2018-09-08,36583.273460314595,24908.39335079472,38637.10715229467,36447.27433658908,36744.3021305631,-4804.086600022288,-4804.086600022288,-4804.086600022288,-6020.498657666463,-6020.498657666463,-6020.498657666463,1216.4120576441755,1216.4120576441755,1216.4120576441755,0.0,0.0,0.0,31779.186860292306
2018-09-09,36590.53434278284,26351.497413780577,40070.51702276129,36449.131926048016,36761.85711701137,-3255.3340558668065,-3255.3340558668065,-3255.3340558668065,-4348.821488799965,-4348.821488799965,-4348.821488799965,1093.4874329331578,1093.4874329331578,1093.4874329331578,0.0,0.0,0.0,33335.200286916035
2018-09-10,36597.7952252511,34410.26959156229,48750.58555964376,36451.074476525304,36776.37033832762,5160.3202620038255,5160.3202620038255,5160.3202620038255,4240.301552352351,4240.301552352351,4240.301552352351,920.018709651474,920.018709651474,920.018709651474,0.0,0.0,0.0,41758.11548725493
2018-09-11,36605.05610771935,34159.19559117926,47888.48276983686,36452.34282473087,36790.12945798661,4237.833678426212,4237.833678426212,4237.833678426212,3537.6556400946174,3537.6556400946174,3537.6556400946174,700.1780383315944,700.1780383315944,700.1780383315944,0.0,0.0,0.0,40842.88978614556
2018-09-12,36612.316990187595,32521.83798158172,46502.25419684906,36453.548872567524,36804.15910527963,2794.424983634666,2794.424983634666,2794.424983634666,2355.245599886937,2355.245599886937,2355.245599886937,439.17938374772956,439.17938374772956,439.17938374772956,0.0,0.0,0.0,39406.74197382226
2018-09-13,36619.57787265585,31219.52816483662,44564.23326387477,36453.19659209278,36821.068146619866,1433.3107645188206,1433.3107645188206,1433.3107645188206,1290.155330871277,1290.155330871277,1290.155330871277,143.1554336475436,143.1554336475436,143.1554336475436,0.0,0.0,0.0,38052.88863717467
2018-09-14,36626.8387551241,28770.945606017573,42326.472703939,36456.59570821204,36838.1417732489,-1235.0240349622652,-1235.0240349622652,-1235.0240349622652,-1054.037976741657,-1054.037976741657,-1054.037976741657,-180.98605822060824,-180.98605822060824,-180.98605822060824,0.0,0.0,0.0,35391.81472016184
2018-09-15,36634.09963759236,22971.795915579423,36833.86412905709,36458.59970316565,36853.03791962201,-6546.221986057916,-6546.221986057916,-6546.221986057916,-6020.498657661761,-6020.498657661761,-6020.498657661761,-525.7233283961548,-525.7233283961548,-525.7233283961548,0.0,0.0,0.0,30087.87765153444
2018-09-16,36641.3605200606,24188.875758708953,38567.51400453766,36460.43746215957,36867.83355315938,-5231.917012796057,-5231.917012796057,-5231.917012796057,-4348.821488795708,-4348.821488795708,-4348.821488795708,-883.0955240003486,-883.0955240003486,-883.0955240003486,0.0,0.0,0.0,31409.443507264546
2018-09-17,36648.62140252886,33130.70976829273,46803.85115459645,36459.05229049017,36882.0076264084,2995.413896597713,2995.413896597713,2995.413896597713,4240.3015523582335,4240.3015523582335,4240.3015523582335,-1244.8876557605204,-1244.8876557605204,-1244.8876557605204,0.0,0.0,0.0,39644.03529912657
2018-09-18,36655.88228499711,31012.635001276063,45257.47112895698,36461.919497864386,36895.36783825822,1934.8341051301347,1934.8341051301347,1934.8341051301347,3537.655640097362,3537.655640097362,3537.655640097362,-1602.8215349672269,-1602.8215349672269,-1602.8215349672269,0.0,0.0,0.0,38590.71639012724
2018-09-19,36663.14316746536,30188.892891963078,44117.205255337605,36463.96212270204,36910.79805955819,406.49708916863665,406.49708916863665,406.49708916863665,2355.245599890995,2355.245599890995,2355.245599890995,-1948.7485107223579,-1948.7485107223579,-1948.7485107223579,0.0,0.0,0.0,37069.640256634
2018-09-20,36670.404049933604,28964.400809837814,42075.04221163966,36460.71442866546,36927.75433934125,-984.6844432688002,-984.6844432688002,-984.6844432688002,1290.155330877561,1290.155330877561,1290.155330877561,-2274.8397741463614,-2274.8397741463614,-2274.8397741463614,0.0,0.0,0.0,35685.7196066648
2018-09-21,36677.664932401865,26608.658967084473,40843.51865733658,36460.44972598571,36942.04290113665,-3627.8080094369143,-3627.8080094369143,-3627.8080094369143,-1054.0379767412892,-1054.0379767412892,-1054.0379767412892,-2573.770032695625,-2573.770032695625,-2573.770032695625,0.0,0.0,0.0,33049.85692296495
2018-09-22,36684.92581487011,21198.760453337552,35028.557803522126,36461.545673293374,36958.6196616129,-8859.38913749991,-8859.38913749991,-8859.38913749991,-6020.4986576678,-6020.4986576678,-6020.4986576678,-2838.8904798321078,-2838.8904798321078,-2838.8904798321078,0.0,0.0,0.0,27825.536677370204
2018-09-23,36692.18669733836,22234.260241109012,35684.360747301755,36461.78368885282,36973.98977859155,-7413.208679563906,-7413.208679563906,-7413.208679563906,-4348.821488791452,-4348.821488791452,-4348.821488791452,-3064.387190772454,-3064.387190772454,-3064.387190772454,0.0,0.0,0.0,29278.978017774454
2018-09-24,36699.44757980662,30564.494751629296,44795.0965039328,36462.55923556139,36988.418640596625,994.8801921095072,994.8801921095072,994.8801921095072,4240.301552350332,4240.301552350332,4240.301552350332,-3245.421360240825,-3245.421360240825,-3245.421360240825,0.0,0.0,0.0,37694.32777191613
2018-09-25,36706.708462274866,30283.626416252904,43946.157632064336,36462.85585822884,37004.84884692553,159.40748216945704,159.40748216945704,159.40748216945704,3537.655640095626,3537.655640095626,3537.655640095626,-3378.2481579261694,-3378.2481579261694,-3378.2481579261694,0.0,0.0,0.0,36866.115944444326
2018-09-26,36713.96934474312,28189.02086378645,42465.857272787194,36463.58936648554,37021.208150115024,-1105.0658051810733,-1105.0658051810733,-1105.0658051810733,2355.2455998861697,2355.2455998861697,2355.2455998861697,-3460.311405067243,-3460.311405067243,-3460.311405067243,0.0,0.0,0.0,35608.903539562045
2018-09-27,36721.23022721137,27398.8127273771,41589.80985583975,36461.18901462344,37037.622892172236,-2200.1564326929815,-2200.1564326929815,-2200.1564326929815,1290.1553308785678,1290.1553308785678,1290.1553308785678,-3490.3117635715494,-3490.3117635715494,-3490.3117635715494,0.0,0.0,0.0,34521.07379451839
2018-09-28,36728.49110967961,25271.387999398434,39660.658193583055,36462.77054626719,37052.389272522945,-4522.284644861124,-4522.284644861124,-4522.284644861124,-1054.037976752373,-1054.037976752373,-1054.037976752373,-3468.2466681087512,-3468.2466681087512,-3468.2466681087512,0.0,0.0,0.0,32206.20646481849
2018-09-29,36735.751992147874,20073.407411751585,33758.17179098742,36460.68501043294,37067.19618026171,-9415.919469669961,-9415.919469669961,-9415.919469669961,-6020.498657668632,-6020.498657668632,-6020.498657668632,-3395.420812001327,-3395.420812001327,-3395.420812001327,0.0,0.0,0.0,27319.83252247791
2018-09-30,36743.01287461612,22774.333923754788,36415.86544436036,36458.799318054436,37087.925641186666,-7623.248097068867,-7623.248097068867,-7623.248097068867,-4348.821488797443,-4348.821488797443,-4348.821488797443,-3274.426608271426,-3274.426608271426,-3274.426608271426,0.0,0.0,0.0,29119.764777547254
