ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-02,36314.6208089893,31824.102881812112,45359.96916471238,36314.6208089893,36314.6208089893,1837.385108323343,1837.385108323343,1837.385108323343,1290.1553308744735,1290.1553308744735,1290.1553308744735,547.2297774488693,547.2297774488693,547.2297774488693,0.0,0.0,0.0,38152.00591731264
2018-08-03,36321.88169145756,28845.256206823324,42412.34601137975,36321.88169145756,36321.88169145756,-829.0323992810171,-829.0323992810171,-829.0323992810171,-1054.0379767487302,-1054.0379767487302,-1054.0379767487302,225.00557746771298,225.00557746771298,225.00557746771298,0.0,0.0,0.0,35492.84929217654
2018-08-04,36329.142573925805,23412.092447151765,36847.06221379452,36329.142573925805,36329.142573925805,-6150.88158709014,-6150.88158709014,-6150.88158709014,-6020.498657662794,-6020.498657662794,-6020.498657662794,-130.38292942734537,-130.38292942734537,-130.38292942734537,0.0,0.0,0.0,30178.260986835667
2018-08-05,36336.40345639406,24053.33251483658,38413.99228559688,36336.40345639406,36336.40345639406,-4858.408049737738,-4858.408049737738,-4858.408049737738,-4348.821488796802,-4348.821488796802,-4348.821488796802,-509.5865609409358,-509.5865609409358,-509.5865609409358,0.0,0.0,0.0,31477.995406656322
2018-08-06,36343.664338862305,33188.312320277735,46583.61146417512,36343.44599843082,36344.48548909878,3337.4215914756664,3337.4215914756664,3337.4215914756664,4240.301552354005,4240.301552354005,4240.301552354005,-902.8799608783384,-902.8799608783384,-902.8799608783384,0.0,0.0,0.0,39681.08593033797
2018-08-07,36350.92522133056,31769.735448691416,45458.88690933603,36349.34105303451,36353.34226678642,2237.2710343964027,2237.2710343964027,2237.2710343964027,3537.655640098812,3537.655640098812,3537.655640098812,-1300.3846057024093,-1300.3846057024093,-1300.3846057024093,0.0,0.0,0.0,38588.19625572696
2018-08-08,36358.18610379881,30252.001272302634,43819.814901550315,36355.07968556163,36362.194253113455,662.9528927804713,662.9528927804713,662.9528927804713,2355.2455998894193,2355.2455998894193,2355.2455998894193,-1692.2927071089482,-1692.2927071089482,-1692.2927071089482,0.0,0.0,0.0,37021.138996579284
2018-08-09,36365.44698626706,28850.651247402475,42350.91390237467,36360.586012543026,36371.26071229501,-778.9316135519148,-778.9316135519148,-778.9316135519148,1290.1553308754806,1290.1553308754806,1290.1553308754806,-2069.0869444273953,-2069.0869444273953,-2069.0869444273953,0.0,0.0,0.0,35586.51537271515
2018-08-10,36372.707868735306,25763.351937354462,39333.225127941994,36365.12133186558,36382.12359106151,-3475.789096170797,-3475.789096170797,-3475.789096170797,-1054.037976748362,-1054.037976748362,-1054.037976748362,-2421.7511194224353,-2421.7511194224353,-2421.7511194224353,0.0,0.0,0.0,32896.91877256451
2018-08-11,36379.96875120357,20669.211433372824,34904.10266224476,36369.53845087898,36392.52951073975,-8762.465751519807,-8762.465751519807,-8762.465751519807,-6020.498657663627,-6020.498657663627,-6020.498657663627,-2741.9670938561794,-2741.9670938561794,-2741.9670938561794,0.0,0.0,0.0,27617.502999683762
2018-08-12,36387.229633671814,22437.607393230934,36221.74618399128,36373.89549517013,36402.405542464876,-7371.115227289705,-7371.115227289705,-7371.115227289705,-4348.821488810695,-4348.821488810695,-4348.821488810695,-3022.2937384790102,-3022.2937384790102,-3022.2937384790102,0.0,0.0,0.0,29016.11440638211
2018-08-13,36394.49051614006,30506.991810111595,44612.52798131635,36378.05329894134,36412.52033481255,983.9774707928125,983.9774707928125,983.9774707928125,4240.301552358139,4240.301552358139,4240.301552358139,-3256.324081565326,-3256.324081565326,-3256.324081565326,0.0,0.0,0.0,37378.467986932876
2018-08-14,36401.751398608314,29514.481136276212,43341.35638085426,36380.98977549929,36423.74022136277,98.83825684486872,98.83825684486872,98.83825684486872,3537.6556400970776,3537.6556400970776,3537.6556400970776,-3438.817383252209,-3438.817383252209,-3438.817383252209,0.0,0.0,0.0,36500.58965545318
2018-08-15,36409.01228107657,28616.945888316284,42334.23693261919,36384.712246198644,36434.056215294426,-1210.5578657680564,-1210.5578657680564,-1210.5578657680564,2355.2455998877854,2355.2455998877854,2355.2455998877854,-3565.8034656558416,-3565.8034656558416,-3565.8034656558416,0.0,0.0,0.0,35198.45441530851
2018-08-16,36416.27316354482,27529.62732801555,41398.18953189189,36389.65723703506,36445.232647681114,-2344.5019523974106,-2344.5019523974106,-2344.5019523974106,1290.155330871539,1290.155330871539,1290.155330871539,-3634.6572832689503,-3634.6572832689503,-3634.6572832689503,0.0,0.0,0.0,34071.77121114741
2018-08-17,36423.53404601307,24646.83837544342,38781.22641339378,36392.626309221385,36457.06007206204,-4698.180384864021,-4698.180384864021,-4698.180384864021,-1054.0379767425552,-1054.0379767425552,-1054.0379767425552,-3644.142408121466,-3644.142408121466,-3644.142408121466,0.0,0.0,0.0,31725.35366114905
2018-08-18,36430.79492848132,19710.916689376878,33769.76301847829,36395.61944154267,36468.36772656795,-9614.921471201435,-9614.921471201435,-9614.921471201435,-6020.498657664295,-6020.498657664295,-6020.498657664295,-3594.4228135371395,-3594.4228135371395,-3594.4228135371395,0.0,0.0,0.0,26815.873457279886
2018-08-19,36438.055810949576,21809.704617260642,34990.90435247506,36398.962650475376,36478.37785163577,-7835.8645420145585,-7835.8645420145585,-7835.8645420145585,-4348.821488802488,-4348.821488802488,-4348.821488802488,-3487.0430532120718,-3487.0430532120718,-3487.0430532120718,0.0,0.0,0.0,28602.191268935017
2018-08-20,36445.31669341782,30058.556287772284,44227.293771222794,36401.464128511456,36489.1880688627,915.4239195767955,915.4239195767955,915.4239195767955,4240.301552362272,4240.301552362272,4240.301552362272,-3324.8776327854766,-3324.8776327854766,-3324.8776327854766,0.0,0.0,0.0,37360.74061299462
2018-08-21,36452.57757588607,29388.8241228849,43794.307434519375,36402.80468741743,36501.26325305864,425.60459602918365,425.60459602918365,425.60459602918365,3537.655640095343,3537.655640095343,3537.655640095343,-3112.0510440661596,-3112.0510440661596,-3112.0510440661596,0.0,0.0,0.0,36878.18217191525
2018-08-22,36459.83845835433,29040.547533611752,42768.85052851052,36405.30760680279,36512.26658567987,-498.5849634106139,-498.5849634106139,-498.5849634106139,2355.245599891843,2355.245599891843,2355.245599891843,-2853.830563302457,-2853.830563302457,-2853.830563302457,0.0,0.0,0.0,35961.25349494372
2018-08-23,36467.09934082258,28622.60787221138,42029.23458736321,36407.74136252023,36523.56474345542,-1266.3391603623945,-1266.3391603623945,-1266.3391603623945,1290.1553308778232,1290.1553308778232,1290.1553308778232,-2556.494491240218,-2556.494491240218,-2556.494491240218,0.0,0.0,0.0,35200.76018046018
2018-08-24,36474.36022329082,26121.89057893881,40248.881044752554,36409.887002212134,36537.20407122357,-3281.216999444231,-3281.216999444231,-3281.216999444231,-1054.0379767482002,-1054.0379767482002,-1054.0379767482002,-2227.1790226960316,-2227.1790226960316,-2227.1790226960316,0.0,0.0,0.0,33193.14322384659
2018-08-25,36481.621105759084,21769.606456447284,35552.06500083152,36411.894588593095,36550.98498175801,-7894.206024668906,-7894.206024668906,-7894.206024668906,-6020.498657664963,-6020.498657664963,-6020.498657664963,-1873.7073670039438,-1873.7073670039438,-1873.7073670039438,0.0,0.0,0.0,28587.415081090177
2018-08-26,36488.88198822733,23445.47094946286,37131.16615572578,36413.91042528149,36563.34198881313,-5853.226578718747,-5853.226578718747,-5853.226578718747,-4348.821488798231,-4348.821488798231,-4348.821488798231,-1504.4050899205154,-1504.4050899205154,-1504.4050899205154,0.0,0.0,0.0,30635.655409508585
2018-08-27,36496.142870695585,32926.456982769196,46647.2222078076,36416.70985152389,36575.47497212422,3112.3956461476714,3112.3956461476714,3112.3956461476714,4240.301552364656,4240.301552364656,4240.301552364656,-1127.9059062169856,-1127.9059062169856,-1127.9059062169856,0.0,0.0,0.0,39608.538516843255
2018-08-28,36503.40375316383,32548.810466196814,46592.33136357396,36417.18534088922,36588.839283515335,2784.7033238415643,2784.7033238415643,2784.7033238415643,3537.6556400980858,3537.6556400980858,3537.6556400980858,-752.9523162565214,-752.9523162565214,-752.9523162565214,0.0,0.0,0.0,39288.10707700539
2018-08-29,36510.66463563208,31732.40689231203,45475.56490764818,36419.29822561791,36603.58241830015,1967.0500526418261,1967.0500526418261,1967.0500526418261,2355.245599890208,2355.245599890208,2355.245599890208,-388.195547248381,-388.195547248381,-388.195547248381,0.0,0.0,0.0,38477.7146882739
2018-08-30,36517.92551810034,30518.640340056503,44751.28805246313,36422.160281137425,36619.11752410066,1248.1561000941351,1248.1561000941351,1248.1561000941351,1290.1553308738821,1290.1553308738821,1290.1553308738821,-41.99923077974696,-41.99923077974696,-41.99923077974696,0.0,0.0,0.0,37766.081618194476
2018-08-31,36525.186400568586,28840.584338365185,42493.52072968388,36421.98394007871,36633.13713086254,-776.2891012243826,-776.2891012243826,-776.2891012243826,-1054.0379767478323,-1054.0379767478323,-1054.0379767478323,277.7488755234499,277.7488755234499,277.7488755234499,0.0,0.0,0.0,35748.8972993442
